4867.074280       17.9       2.2            AAT
5226.218800      269.5       5.3            AAT
5227.201040      303.4       3.7            AAT
5318.892270        1.0       1.9            AAT
5602.044220        6.1       1.9            AAT
5880.220050      -55.3       2.3            AAT
5906.112040      -31.3       1.8            AAT
5907.196400      -28.1       2.6            AAT
5969.075960      -15.5       2.1            AAT
6088.863660       54.1       3.8            AAT
6344.029910       -3.1       2.7            AAT
6374.988030      -16.4       2.4            AAT
6376.959550      -14.1       2.4            AAT
6377.961970      -25.2       2.6            AAT
6399.968820      -18.5       3.1            AAT
6530.319410       11.0       3.0            AAT
6744.985720       -7.3       2.4            AAT
7306.827700      264.5       4.4         CHIRON
7324.789100      -16.0       4.5         CHIRON
7365.789500      -66.0       4.1         CHIRON
7433.699000      -97.2       3.6         CHIRON
7433.713100      -99.6       3.4         CHIRON
7433.727200      -94.7       3.4         CHIRON
7458.688300      -90.4       3.3         CHIRON
7458.702400      -95.2       3.7         CHIRON
7458.716500      -98.4       3.6         CHIRON
7478.646300      -76.3       4.1         CHIRON
7478.660400      -79.6       3.7         CHIRON
7478.674500      -77.2       3.7         CHIRON
7641.913000      -36.9       5.0          FEROS
7643.905700      -24.2       5.4          FEROS
7700.843400       23.1       5.9          FEROS
7702.868400       20.3       4.3          FEROS
7703.797300       32.8       4.9          FEROS
7705.853300       38.2       5.0          FEROS
7894.560400      -30.7       6.2          FEROS
7895.469800      -22.7       5.5          FEROS
8131.973084       77.4      14.4            MJ3
8131.995427       59.8      12.4            MJ3
8132.740600       60.5       8.0         CHIRON
8132.894243      101.3      16.4            MJ1
8132.916154       94.8      16.6            MJ1
8133.082251       89.7      16.1            MJ1
8133.104068       91.0      15.6            MJ1
8133.129350      103.0      17.4            MJ1
8133.756400       81.7       6.2         CHIRON
8133.985792      112.8      15.5            MJ1
8134.008329      119.8      15.5            MJ1
8134.142827      103.6      15.7            MJ1
8134.165035      110.1      15.7            MJ1
8134.737500       95.1       5.0         CHIRON
8135.729700      120.3       7.0         CHIRON
8135.979715      166.9      17.1            MJ3
8136.002019      131.8      16.6            MJ3
8136.745300      143.4      18.1         CHIRON
8137.019531      170.2      13.7            MJ3
8137.041852      181.2      13.3            MJ3
8137.064108      168.3      13.8            MJ3
8137.089041      192.7      14.5            MJ3
8137.919896      235.7      14.3            MJ3
8137.974526      232.1      11.8            MJ3
8138.133998      240.0      13.5            MJ3
8138.922459      269.9      16.4            MJ3
8138.944974      303.4      16.7            MJ3
8138.969931      300.3      14.2            MJ3
8139.032653      285.9      14.2            MJ3
8139.912303      274.3      12.9            MJ3
8139.944173      268.1      13.2            MJ3
8139.966157      262.9      13.5            MJ3
8140.904009      261.4      18.3            MJ1
8140.926304      265.6      18.4            MJ1
8140.948490      245.1      18.3            MJ1
8140.970459      257.5      19.7            MJ1
8140.993368      280.5      18.4            MJ1
8141.920501      226.1      17.5            MJ1
8141.940818      220.8      18.9            MJ1
8141.968963      221.5      18.3            MJ1
8141.990759      226.9      15.7            MJ1
8142.013180      206.3      17.4            MJ1
8142.931486      155.6      20.3            MJ3
8142.975638      149.0      17.9            MJ3
8144.699600       68.5       6.0         CHIRON
8145.805500       36.0       6.9         CHIRON
8146.731800       20.7       5.3         CHIRON
8179.944650       17.0      16.3            MJ1
8179.966433      122.4      45.1            MJ1
8180.849981       13.7      17.7            MJ1
8180.873552       14.8      17.0            MJ1
8184.189269        0.0      13.2            MJ1
8184.209013       33.2      12.5            MJ1
